bandwidth,latency,packet_loss,uptime,label
41.24,181.77,1.8,89.6,gangguan
33.24,29.99,7.36,96.98,normal
116.76,7.57,6.52,86.4,gangguan
100.22,154.92,1.88,94.94,normal
59.02,47.15,2.14,86.89,gangguan
115.93,150.34,5.21,98.31,gangguan
64.55,159.75,7.62,85.76,gangguan
99.2,50.23,2.53,87.43,gangguan
79.88,217.36,1.12,92.45,normal
54.94,21.91,3.08,86.25,normal
141.31,202.42,6.51,94.01,normal
116.3,295.72,1.92,92.77,normal
9.76,213.41,4.99,92.26,gangguan
121.03,150.41,0.34,98.11,normal
116.49,292.64,1.49,92.29,normal
37.73,144.54,1.05,92.84,normal
90.67,118.91,4.43,86.37,gangguan
100.61,231.35,6.38,94.73,normal
124.42,100.05,3.35,88.76,normal
25.17,104.55,0.2,99.19,normal
54.3,272.48,5.24,91.43,normal
63.07,142.51,1.16,89.62,gangguan
113.31,185.25,2.94,88.34,gangguan
99.53,23.57,3.98,98.78,normal
125.24,19.88,4.33,92.47,gangguan
145.01,219.01,5.49,98.97,gangguan
45.49,78.7,2.29,86.97,gangguan
44.54,186.5,6.99,87.86,normal
149.58,121.46,1.0,97.5,normal
22.98,219.49,4.63,96.65,normal
117.6,63.91,7.82,92.42,normal
52.75,166.69,3.87,87.63,normal
17.66,252.22,0.61,86.78,normal
117.42,169.29,3.5,93.86,normal
15.54,155.49,4.06,99.28,normal
106.98,259.58,7.23,87.7,gangguan
18.65,72.99,1.95,94.11,normal
99.58,195.6,0.08,88.57,normal
106.83,58.85,2.06,90.1,gangguan
114.46,208.38,3.19,98.95,normal
102.37,115.56,2.88,85.31,normal
28.72,294.45,4.15,85.64,gangguan
148.6,198.16,3.54,85.55,gangguan
51.36,192.94,4.68,92.91,normal
100.83,74.54,1.82,93.87,normal
118.49,9.95,7.13,93.32,normal
32.01,32.89,6.52,91.4,normal
74.22,267.16,6.93,88.73,normal
76.74,18.77,5.46,87.37,gangguan
82.33,74.3,2.95,99.94,normal
148.94,138.95,2.91,97.54,normal
83.32,142.29,7.64,96.35,normal
73.64,112.58,5.99,99.94,normal
43.2,184.22,3.51,86.89,normal
75.76,132.14,6.29,91.8,normal
65.63,128.37,5.09,93.05,normal
41.96,66.18,6.59,99.79,normal
55.25,18.66,4.57,89.66,normal
74.5,78.79,1.02,94.63,normal
54.61,138.42,4.7,91.54,normal
130.21,187.02,3.28,92.94,normal
65.93,46.92,3.2,91.03,normal
27.89,65.13,6.79,92.27,normal
14.78,259.93,3.03,90.94,gangguan
107.4,73.25,4.11,88.19,normal
87.82,25.37,7.65,99.57,normal
82.51,73.97,7.83,97.81,normal
109.0,26.85,0.42,99.98,normal
106.85,170.85,7.36,97.28,normal
116.56,95.11,5.22,91.6,normal
75.98,295.86,5.41,85.17,gangguan
148.96,188.59,2.92,95.4,normal
65.83,269.47,0.99,88.11,normal
44.1,180.51,6.08,89.7,normal
53.0,127.79,0.62,86.46,gangguan
34.98,215.82,2.24,95.43,normal
96.87,66.06,2.33,92.66,normal
94.0,137.45,0.6,99.78,gangguan
130.27,266.36,7.33,95.75,normal
80.1,112.29,5.4,91.68,normal
81.72,284.56,3.52,88.89,gangguan
118.81,150.96,2.64,85.3,normal
108.54,104.08,1.21,97.53,normal
138.97,290.1,7.42,94.28,normal
46.77,7.98,4.01,99.7,normal
89.77,46.79,7.29,86.37,gangguan
56.42,22.33,3.58,95.08,normal
107.38,227.5,6.67,89.75,gangguan
39.53,258.61,6.82,95.77,normal
62.21,277.15,4.97,94.64,gangguan
115.42,101.86,2.47,96.19,normal
52.4,191.26,1.1,92.76,gangguan
55.9,187.13,0.73,90.54,gangguan
40.09,252.2,6.0,97.23,normal
144.32,165.06,5.61,88.78,gangguan
120.8,252.83,6.51,96.13,normal
14.34,101.86,3.45,87.93,normal
108.18,74.4,6.23,99.85,normal
38.47,185.42,1.1,92.41,normal
32.06,47.67,3.41,91.42,normal
35.67,222.07,7.01,91.01,gangguan
32.9,299.81,2.79,85.25,normal
64.19,36.94,0.28,88.5,normal
65.99,48.26,3.45,88.24,normal
52.03,56.6,6.28,99.58,normal
22.15,235.03,6.61,89.14,gangguan
31.3,146.11,6.12,94.12,normal
123.33,145.83,6.27,85.25,gangguan
128.32,235.05,1.59,91.1,normal
80.61,148.6,5.93,96.45,normal
16.99,180.56,4.17,97.16,normal
133.68,183.04,6.53,98.17,normal
107.81,243.98,0.85,91.02,gangguan
118.12,154.41,5.56,96.01,normal
100.7,270.92,7.97,91.71,normal
55.19,298.86,5.4,94.33,normal
116.13,220.87,0.6,88.07,normal
112.71,273.57,4.98,97.33,normal
25.14,19.59,4.88,93.1,gangguan
127.6,290.37,2.38,92.19,normal
143.99,163.93,0.79,93.51,normal
96.92,168.47,3.13,86.21,gangguan
61.04,246.34,7.51,98.08,gangguan
61.95,241.75,2.08,96.08,gangguan
123.19,160.61,0.13,94.45,normal
60.17,8.7,2.61,91.01,gangguan
92.55,18.45,4.84,90.64,gangguan
145.92,55.73,1.84,97.46,gangguan
149.92,98.84,3.59,99.31,normal
42.65,249.32,6.29,98.77,gangguan
143.42,203.13,6.14,97.57,normal
11.08,262.53,2.99,96.73,normal
139.36,6.83,3.77,86.62,normal
80.41,162.35,5.02,97.29,normal
66.56,262.11,4.29,88.33,normal
127.2,13.91,7.96,95.39,gangguan
14.8,275.82,0.63,93.68,gangguan
19.08,127.17,2.99,98.43,gangguan
57.23,223.19,0.81,93.09,normal
37.54,272.2,1.44,92.75,normal
124.22,28.85,4.36,86.94,normal
51.09,124.23,4.83,93.86,normal
33.98,78.22,2.78,99.39,gangguan
52.88,30.32,1.45,93.34,normal
12.55,161.86,7.45,85.12,gangguan
85.01,116.45,6.18,92.01,normal
9.99,23.71,3.02,85.55,normal
141.92,298.04,3.42,98.05,gangguan
14.9,67.56,7.42,85.07,normal
106.39,286.34,7.13,98.19,normal
23.24,27.12,4.13,98.78,normal
131.13,268.17,4.47,97.18,normal
148.22,246.37,7.16,95.83,normal
58.45,223.87,6.71,98.39,gangguan
5.49,52.38,0.88,94.85,normal
7.69,100.03,6.9,96.62,normal
47.44,295.33,4.99,94.36,gangguan
142.36,191.01,2.39,86.5,gangguan
123.2,186.14,4.9,93.33,normal
107.22,132.76,1.05,95.84,normal
125.48,114.59,5.99,95.2,normal
128.47,291.57,7.74,89.92,gangguan
27.48,227.19,0.21,92.52,gangguan
53.29,265.38,6.85,92.69,normal
138.9,108.7,2.77,92.08,gangguan
45.52,114.77,0.25,86.48,normal
53.69,244.37,0.15,97.16,normal
9.71,63.23,6.88,85.29,gangguan
40.23,160.83,7.75,85.55,gangguan
132.67,251.07,6.98,89.96,gangguan
99.19,236.21,7.0,96.38,normal
112.15,97.77,6.38,96.86,normal
84.42,217.24,1.99,93.01,gangguan
109.93,161.66,5.25,97.78,normal
46.54,200.84,5.63,87.16,normal
112.08,25.15,4.85,87.2,normal
55.06,21.49,4.1,86.38,normal
98.18,149.27,0.89,92.93,normal
127.83,148.78,7.24,95.21,normal
99.39,64.97,3.38,97.63,normal
82.31,77.21,1.14,91.6,normal
129.08,49.29,6.39,92.36,gangguan
59.57,253.96,1.23,93.58,normal
106.85,81.53,2.56,85.69,normal
53.8,238.77,5.35,90.21,gangguan
23.42,40.54,0.19,85.08,normal
135.35,146.21,0.42,99.42,normal
89.86,32.71,2.47,87.65,normal
132.06,260.24,4.83,94.15,normal
98.39,87.55,7.1,94.33,gangguan
23.32,199.32,5.99,89.47,normal
115.77,71.21,4.73,97.27,normal
89.98,164.94,2.45,93.93,normal
100.85,256.94,1.1,94.32,gangguan
60.23,29.34,7.68,94.17,normal
9.22,107.19,3.55,90.52,gangguan
108.37,260.98,5.88,97.4,normal
57.45,20.46,5.51,93.63,normal
33.48,18.3,6.47,99.31,normal
90.32,37.3,2.05,96.84,normal
117.26,260.08,7.91,86.89,normal
122.37,238.23,0.87,96.91,normal
125.88,5.54,0.64,89.51,normal
6.09,169.97,6.51,96.3,gangguan
57.56,41.5,2.53,90.58,normal
21.64,168.1,1.28,94.01,normal
62.06,111.1,5.56,95.18,normal
90.36,89.13,6.25,87.2,normal
73.32,123.43,0.83,92.42,normal
64.02,161.56,7.53,87.03,gangguan
85.62,243.38,2.71,86.82,gangguan
115.54,97.72,5.69,88.52,gangguan
94.46,224.38,0.43,98.27,normal
25.41,130.99,6.6,91.46,normal
63.18,157.12,3.89,93.28,normal
10.43,38.29,2.84,88.74,normal
6.9,83.36,2.17,93.22,normal
62.0,65.45,7.78,94.75,normal
142.93,184.25,4.47,94.15,gangguan
5.34,258.74,4.8,94.49,gangguan
58.01,98.94,1.12,94.64,normal
128.36,127.83,3.65,85.78,normal
25.2,288.05,4.28,92.88,normal
38.23,81.14,1.58,85.45,normal
95.38,120.71,5.22,85.52,normal
118.78,222.58,4.05,93.27,normal
64.95,57.34,3.22,89.56,normal
108.76,131.23,2.45,97.12,normal
124.13,297.81,5.86,89.52,gangguan
45.01,91.12,2.18,95.68,normal
117.26,194.75,2.31,89.09,gangguan
24.84,28.44,2.4,87.22,normal
6.46,160.17,6.2,86.41,normal
129.2,242.75,6.86,92.38,gangguan
73.24,280.81,0.18,98.49,normal
89.38,72.5,1.02,97.56,normal
64.0,152.99,4.84,95.35,normal
52.86,283.36,5.34,93.05,gangguan
106.25,77.13,1.94,98.42,normal
122.32,187.41,5.97,86.69,normal
114.2,63.9,1.2,96.45,gangguan
14.57,243.7,1.76,97.74,normal
138.17,161.39,4.95,94.71,gangguan
84.72,105.96,1.78,92.67,normal
111.74,26.07,6.98,86.47,normal
110.19,119.38,5.78,89.59,normal
48.13,47.23,3.64,86.18,gangguan
8.87,90.31,7.02,98.24,normal
48.75,119.28,1.3,99.53,normal
70.03,80.09,0.25,86.49,normal
60.46,179.78,4.6,97.37,normal
130.18,212.09,5.26,94.52,normal
113.81,247.12,5.27,95.5,normal
14.03,120.26,6.39,92.9,gangguan
134.57,76.92,4.72,97.33,normal
66.24,78.55,6.83,99.1,normal
32.14,28.09,5.1,96.56,normal
127.85,281.79,2.42,95.0,normal
115.93,179.29,1.58,86.57,gangguan
67.21,230.01,1.88,93.81,gangguan
144.04,240.83,6.8,98.16,gangguan
144.51,216.06,4.44,88.02,normal
97.05,37.15,2.45,98.87,normal
131.4,223.45,3.63,88.61,gangguan
8.5,145.47,5.42,85.37,gangguan
119.48,95.22,7.77,96.82,normal
51.09,113.18,7.82,87.26,normal
122.6,204.61,7.31,94.48,normal
112.32,288.83,5.11,86.29,gangguan
79.12,67.31,2.51,99.67,normal
99.59,176.87,7.33,92.42,normal
80.3,17.38,4.21,98.66,gangguan
83.01,34.31,4.76,99.64,normal
142.51,11.18,0.39,89.56,normal
24.28,121.03,0.96,98.84,normal
88.01,240.76,1.13,93.22,normal
138.47,65.93,5.29,97.13,normal
10.39,160.67,2.58,95.46,normal
94.48,49.18,7.1,92.05,normal
125.28,7.85,4.39,97.79,normal
70.05,146.63,1.91,92.71,normal
65.67,50.57,0.13,87.3,normal
49.29,128.26,5.13,87.45,normal
28.08,29.75,0.45,90.65,gangguan
123.57,261.37,3.53,95.83,normal
120.31,67.97,0.87,91.44,normal
83.99,296.02,4.4,97.35,gangguan
104.1,268.05,3.69,93.97,normal
85.69,97.78,5.42,94.39,normal
25.46,237.01,3.09,98.51,normal
129.31,13.06,4.93,86.05,normal
18.34,170.93,2.97,96.65,normal
111.63,281.08,7.18,96.6,normal
99.81,179.29,6.48,95.03,gangguan
78.61,235.69,5.44,88.1,normal
108.32,46.33,6.41,89.6,normal
34.52,136.43,0.95,97.93,normal
111.41,258.62,0.16,91.1,normal
147.68,122.87,7.7,88.48,normal
133.52,79.23,1.19,87.87,normal
53.62,90.79,2.25,87.7,normal
98.9,183.56,5.53,91.73,normal
52.22,79.37,4.1,86.26,gangguan
103.37,293.4,3.82,92.08,gangguan
86.91,240.28,5.7,94.51,normal
128.39,216.87,6.84,93.2,gangguan
75.86,129.9,7.68,97.89,normal
35.42,105.39,7.47,95.89,normal
17.9,200.88,0.02,99.17,normal
110.48,29.83,3.47,91.68,normal
138.55,293.03,2.81,85.58,normal
140.66,85.24,4.9,95.32,normal
121.24,273.61,4.37,97.78,gangguan
57.44,293.38,4.62,96.65,gangguan
130.91,116.27,0.78,98.35,normal
149.86,211.85,3.11,98.73,normal
142.16,287.87,1.97,96.65,normal
38.19,275.2,0.92,92.62,normal
12.44,118.07,4.14,97.93,normal
9.93,113.8,0.54,97.0,normal
52.24,180.84,6.41,86.34,normal
15.69,36.35,0.68,94.45,normal
78.07,263.76,2.87,85.07,gangguan
