bandwidth,latency,packet_loss,uptime,label
58.77,17.13,0.78,99.24,normal
37.82,26.07,0.25,98.92,normal
14.04,259.86,14.36,94.47,gangguan
33.9,56.52,0.71,99.88,normal
145.23,60.27,1.15,99.69,normal
50.83,50.03,0,98.95,normal
51.83,15.86,1.04,99.52,normal
50.26,23.82,0.37,99.03,normal
95.99,19.52,1.0,99.26,normal
13.5,241.3,3.86,98.83,gangguan
119.69,7.42,1.19,98.87,normal
22.01,225.19,15.4,90.22,gangguan
75.42,15.97,0.42,99.72,normal
18.01,294.14,10.74,94.17,gangguan
6.33,151.87,4.7,95.81,gangguan
63.23,41.06,0.17,99.76,normal
148.69,15.39,0.76,99.01,normal
36.06,11.47,1.02,99.17,normal
99.09,22.61,0.24,99.25,normal
139.89,25.34,0.27,99.44,normal
17.18,115.09,3.6,98.74,gangguan
148.26,6.13,0.59,99.57,normal
46.79,45.8,1.2,99.27,normal
142.04,57.03,1.25,99.06,normal
74.75,33.15,0.01,98.93,normal
117.26,29.19,0.83,98.6,normal
58.3,12.86,0.24,99.97,normal
94.52,42.41,1.2,98.61,normal
101.81,170.32,4.01,96.29,gangguan
34.48,114.64,3.88,97.26,gangguan
10.81,135.5,1.9,97.71,gangguan
123.23,45.86,0.15,99.9,normal
57.79,199.56,0.24,97.25,gangguan
66.44,38.92,0.92,99.35,normal
73.65,49.9,0.41,99.35,normal
84.45,5.62,0.42,98.76,normal
116.45,16.78,0.81,98.86,normal
107.42,212.26,0.38,98.44,gangguan
87.02,25.32,0.06,99.51,normal
148.62,41.38,0.38,98.8,normal
148.61,20.99,1.04,98.93,normal
70.96,257.9,3.35,96.94,gangguan
31.03,49.97,0.83,98.81,normal
106.47,151.39,3.25,99.16,gangguan
60.05,43.84,0.14,99.74,normal
30.38,115.5,4.13,97.26,gangguan
9.47,201.71,2.19,97.93,gangguan
67.09,41.11,0.57,99.92,normal
88.26,25.87,0.4,99.2,normal
34.07,38.14,0.04,99.04,normal
62.54,10.14,0.71,99.15,normal
125.53,18.69,0.21,99.04,normal
124.73,12.27,0.64,99.09,normal
48.05,10.81,0.96,99.1,normal
28.16,197.46,12.64,92.26,gangguan
60.96,58.08,0.15,99.43,normal
103.78,8.81,0.54,99.76,normal
22.24,199.97,2.13,98.68,gangguan
79.81,233.8,0.0,98.52,gangguan
103.58,47.16,0.97,98.69,normal
17.97,118.23,3.61,98.72,gangguan
55.91,20.68,0.79,99.56,normal
48.29,24.87,0.45,99.21,normal
62.97,38.42,0.19,98.9,normal
102.59,55.34,0.24,99.47,normal
27.86,211.06,9.75,91.56,gangguan
38.39,36.08,0.44,98.74,normal
39.49,57.02,0.22,99.97,normal
32.8,40.72,0.32,99.29,normal
17.03,130.19,1.68,97.04,gangguan
113.17,6.3,0.45,98.81,normal
131.64,36.86,1.1,99.17,normal
131.66,43.67,0.01,99.8,normal
15.19,133.69,3.31,98.19,gangguan
33.37,146.07,3.29,97.81,gangguan
129.43,58.7,0.37,99.63,normal
141.32,47.1,1.04,98.57,normal
19.63,291.61,5.98,93.92,gangguan
44.43,49.95,1.04,98.55,normal
146.23,54.98,0.36,99.28,normal
13.53,153.44,9.35,91.04,gangguan
53.3,12.34,0.47,98.58,normal
76.2,25.07,0.09,100.0,normal
142.7,48.48,0.88,99.8,normal
67.68,39.01,1.01,98.69,normal
35.89,152.63,2.91,98.43,gangguan
61.19,5.7,1.03,98.58,normal
130.26,28.8,0.72,99.48,normal
13.69,162.9,12.37,94.42,gangguan
46.15,48.04,0.11,99.12,normal
147.1,17.29,1.16,99.06,normal
109.85,40.98,0.96,99.5,normal
92.86,40.07,0.12,99.0,normal
85.02,26.04,0.83,99.23,normal
53.16,36.9,0.9,98.97,normal
7.54,267.11,12.03,93.38,gangguan
134.27,56.56,0.76,98.69,normal
42.87,50.39,0.46,98.69,normal
51.82,35.95,0,98.56,normal
44.24,46.5,1.06,98.88,normal
132.75,21.98,0.32,99.09,normal
14.26,297.73,5.36,93.7,gangguan
59.12,26.14,0.65,98.89,normal
10.15,127.43,3.16,98.3,gangguan
82.66,50.33,1.02,98.91,normal
63.25,59.87,0.49,99.44,normal
117.93,58.11,0.82,99.82,normal
71.15,25.14,0.81,98.69,normal
16.04,85.13,2.51,98.14,gangguan
37.26,161.64,0.15,99.46,gangguan
90.5,57.17,0.98,99.88,normal
137.96,46.69,0.08,98.58,normal
119.29,33.85,0.65,98.56,normal
52.01,49.18,0.05,98.6,normal
99.46,13.39,0.12,98.56,normal
137.09,8.87,0.49,99.88,normal
133.51,19.68,0.53,99.94,normal
111.92,33.45,0.14,99.57,normal
82.45,45.28,0.98,99.84,normal
111.88,41.75,0.52,98.56,normal
125.16,35.77,0.97,99.25,normal
90.87,16.13,0.34,98.7,normal
28.04,307.69,7.63,91.66,gangguan
76.99,37.86,0.74,98.75,normal
144.93,26.76,0.42,99.56,normal
26.75,233.15,4.06,98.8,gangguan
39.6,17.07,0.7,99.75,normal
56.78,25.29,0.44,99.29,normal
108.27,40.95,0.65,99.51,normal
28.87,171.25,8.25,94.84,gangguan
85.65,51.12,0.78,99.73,normal
38.38,104.06,3.84,97.82,gangguan
59.04,48.01,1.12,98.83,normal
148.19,8.95,0.72,99.97,normal
145.36,11.74,0.66,99.65,normal
122.24,52.59,0.85,99.9,normal
33.7,11.45,0.03,99.63,normal
102.43,32.64,0.87,98.59,normal
64.92,52.98,0.3,99.73,normal
84.55,19.52,1.23,99.32,normal
62.99,18.3,0.2,98.82,normal
90.98,55.75,0.36,98.92,normal
111.75,31.45,0.07,99.96,normal
23.38,162.02,12.72,95.66,gangguan
5.63,111.69,3.76,97.93,gangguan
37.3,28.28,0.21,99.09,normal
133.73,20.01,0.47,98.79,normal
110.43,12.91,0.77,98.8,normal
22.36,196.55,4.39,97.42,gangguan
18.42,127.4,1.61,98.48,gangguan
87.06,44.41,0.76,99.15,normal
126.83,48.59,0.9,99.44,normal
65.92,53.54,0.35,98.58,normal
91.0,22.18,0.64,99.14,normal
120.67,10.83,0.31,99.98,normal
15.43,294.9,10.63,96.96,gangguan
77.34,122.39,4.43,96.47,gangguan
134.48,31.47,0.42,99.9,normal
90.25,35.62,0.44,99.59,normal
38.02,32.17,0.88,98.57,normal
135.78,11.69,0.71,99.05,normal
56.6,23.31,1.04,99.07,normal
88.91,28.02,0.71,98.98,normal
25.06,95.79,1.93,98.72,gangguan
17.72,84.32,3.48,98.33,gangguan
1.24,213.25,12.36,91.87,gangguan
99.3,20.8,0.34,98.66,normal
1.97,219.59,12.33,90.87,gangguan
124.43,62.42,0.46,98.57,normal
122.66,20.26,0.88,98.77,normal
103.66,3.96,0.99,98.92,normal
26.67,188.67,3.41,98.8,gangguan
87.83,41.85,0.04,98.83,normal
18.43,228.08,11.41,94.82,gangguan
62.49,53.94,0.93,98.65,normal
133.14,14.06,0.44,99.6,normal
109.89,38.94,0.86,99.23,normal
114.29,42.84,0.54,99.92,normal
147.52,37.0,1.12,99.48,normal
110.43,18.7,1.21,99.65,normal
109.2,42.74,0.62,98.94,normal
14.71,318.5,21.01,92.56,gangguan
137.01,15.74,0.06,98.69,normal
62.83,16.1,0.04,99.93,normal
